iter	Logloss
0	0.6823285851
1	0.6730028549
2	0.6633149039
3	0.6547253942
4	0.6434948872
5	0.6361518273
6	0.6301375345
7	0.6216675323
8	0.6148616387
9	0.6090995454
10	0.5996299732
11	0.5942390622
12	0.5898027782
13	0.5824646272
14	0.5779442415
15	0.5719353195
16	0.5640731312
17	0.5586524344
18	0.5540912314
19	0.5492048842
20	0.5454952185
21	0.5415402569
22	0.5383699349
23	0.5356930384
24	0.5325405158
25	0.5299047922
26	0.5266051131
27	0.5214635487
28	0.5183511047
29	0.5150296179
30	0.5125167953
31	0.5083419881
32	0.5055040555
33	0.5026840207
34	0.4996744901
35	0.4971466446
36	0.4932992573
37	0.4899085008
38	0.4890284662
39	0.4870984855
40	0.4847276346
41	0.4820911329
42	0.4801450989
43	0.4781070577
44	0.4764668669
45	0.4739008752
46	0.470528974
47	0.4679656697
48	0.465236741
49	0.4622001611
50	0.4593521268
51	0.4577754991
52	0.4544560762
53	0.4520708247
54	0.450311328
55	0.4481734537
56	0.4463625444
57	0.4446539456
58	0.4422474642
59	0.440827636
60	0.4368335477
61	0.4344815033
62	0.4328481536
63	0.429893237
64	0.4288388754
65	0.4263363665
66	0.4240044983
67	0.4228949783
68	0.4217439663
69	0.4201218868
70	0.4166499103
71	0.4145888464
72	0.412218387
73	0.4110695434
74	0.4097756659
75	0.4087502793
76	0.4075226187
77	0.4060429143
78	0.4048322405
79	0.4029146196
80	0.4017923788
81	0.4008833688
82	0.3999127851
83	0.3987718479
84	0.3973099055
85	0.396341252
86	0.3951065079
87	0.3942354667
88	0.3926491442
89	0.3913348187
90	0.3894914249
91	0.3873739966
92	0.3865649469
93	0.385185528
94	0.383820462
95	0.3830525958
96	0.3811281825
97	0.3800142398
98	0.3786170591
99	0.3764921513
