iter	Passed	Remaining
0	169	16827
1	178	8735
2	186	6038
3	192	4624
4	197	3749
5	203	3183
6	207	2753
7	210	2421
8	213	2162
9	216	1952
10	221	1792
11	224	1647
12	227	1524
13	230	1418
14	234	1326
15	237	1246
16	242	1181
17	245	1117
18	248	1058
19	251	1004
20	254	956
21	257	912
22	264	883
23	267	845
24	270	810
25	273	777
26	276	746
27	279	718
28	282	692
29	285	667
30	288	642
31	291	620
32	294	598
33	297	578
34	301	560
35	305	542
36	308	524
37	311	507
38	314	491
39	316	475
40	321	462
41	324	447
42	327	433
43	329	419
44	332	406
45	335	394
46	338	381
47	342	370
48	345	360
49	348	348
50	351	337
51	354	327
52	357	316
53	359	306
54	366	299
55	369	290
56	372	280
57	375	271
58	378	262
59	380	253
60	385	246
61	387	237
62	390	229
63	393	221
64	396	213
65	399	205
66	402	198
67	407	191
68	427	192
69	433	185
70	437	178
71	440	171
72	443	164
73	448	157
74	451	150
75	454	143
76	457	136
77	459	129
78	462	122
79	468	117
80	471	110
81	474	104
82	477	97
83	479	91
84	482	85
85	486	79
86	489	73
87	492	67
88	495	61
89	498	55
90	501	49
91	504	43
92	507	38
93	510	32
94	513	27
95	516	21
96	518	16
97	521	10
98	524	5
99	528	0
